"These data were modified from ""https://knb.ecoinformatics.org/knb/d1/mn/v2/object/df35b.302.1 and https://knb.ecoinformatics.org/knb/d1/mn/v2/object/df35b.303.1",,,,,,,,
Modifications were done to show data entry errors to be used as example of a data cleaning workshop,,,,,,,,
region,Year,Chinook salmon,Sockeye salmon,Coho salmon,Pink salmon,Chum salmon,NOTES,source
GSE,1936,0,0,0,0,0,,local
KSK,1936,1,0,0,0,0,,local
YUK,1936,21,0,0,0,0,,individual;local
KTZ,1936,0,0,0,0,0,No reported catch,local;regional;individual
ALU,1936,0,0,0,0,0,Catches included in S. peninsula catches or none,individual
BRB,1935,4,3023,2,0,72,,individual;local
KOD,1935,1,1614,77,10781,382,Chinook and coho and chum estimated from canned production,individual;local
CKI,1935,75,1356,170,431,161,No Resurrection Bay fishery,local;regional;individual
SOP,1935,14,978,117,5386,2003,Catches from Unalaksa to Castle Cape,regional;individual;local
NSE,1935,597,751,416,7178,2165,,individual;regional;local
SSE,1935,36,736,1198,22982,2917,,individual
CHG,1935,1,619,18,373,191,Pink and chum catch estimated form canned production; from Castle Cp. To E. boundary,local
NOP,1935,1,479,0,0,34,Estimated from canned production,individual;local;regional
YAK,1935,8,407,146,88,2,,individual;local
PWS,1935,3,175,34,2618,471,,individual
COP,1935,3,112,80,0,0,Includes Bering River; coho and pink estimated fro canned,loccal;regional
GSE,1935,0,0,0,0,0,,individual
BER,1935,0,0,0,0,0,Bering River catches included in Copper River catches,regional
KSK,1935,6,0,8,0,0,,local
YUK,1935,7,0,0,0,0,,local;individual;regional
KTZ,1935,0,0,0,0,0,No reported catch,regional
ALU,1935,0,0,0,0,0,Catches included in S. peninsula catches or none,individual;regional;local
BRB,1934,46,20601,12,33,332,,local;regional
KOD,1934,1,1829,90,7642,661,Chinook and coho and chum estimated from canned production,local
CKI,1934,72,1815,251,930,91,Estimated from canned production,regional;local;individual
SOP,1934,18,1372,247,6539,1940,Catches from Unalaksa to Castle Cape,individual
CHG,1934,1,1108,27,537,134,Pink and chum catch estimated form canned production; from Castle Cp. To E. boundary,regional;individual;local
NOP,1934,2,1091,0,0,13,Estimated from canned production,individual;local;regional
COP,1934,13,914,0,3,0,Coho and pink catch estimated from canned production,regional;individual
SSE,1934,200,456,1076,35204,1068,,regional
NSE,1934,121,431,643,15016,2734,,regional;local;individual
YAK,1934,18,355,238,108,3,,local;regional
PWS,1934,4,144,100,6789,261,,individual;local
BER,1934,0,78,0,0,0,,regional;individual;local
GSE,1934,0,0,0,0,0,,individual;local;regional
KSK,1934,0,0,0,0,0,No reported catch,individual;local
YUK,1934,25,0,0,0,0,,regional;local;individual
KTZ,1934,0,0,0,0,0,No reported catch,individual;regional
ALU,1934,0,0,0,0,0,Catches included in S. peninsula catches or none,local
BRB,1933,49,23709,16,0,256,,individual;regional;local
SOP,1933,13,1997,190,3109,1174,Estimated from canned production; includes Aleautian Island catches,regional;individual
KOD,1933,1,1428,91,6574,537,Estimated from canned production,individual
CKI,1933,59,1336,188,118,57,Estimated from canned production,individual;local;regional
COP,1933,19,629,96,0,0,Coho and pink catch estimated from canned production,local;individual;regional
CHG,1933,1,596,53,325,120,Pink and chum catch estimated form canned production; from Castle Cp. To E. boundary,local;individual;regional
NSE,1933,73,441,398,10420,2895,,local
SSE,1933,341,412,692,15245,1650,,individual;local;regional
NOP,1933,1,350,0,0,16,Estimated from canned production,regional;local;individual
YAK,1933,13,157,133,118,3,,local
PWS,1933,4,107,76,3030,286,,individual;regional;local
BER,1933,0,20,0,0,0,,local;regional;individual
GSE,1933,0,0,0,0,0,,individual;regional;local
KSK,1933,0,0,0,0,0,No reported catch,local
YUK,1933,9,0,0,0,0,,local;regional
KTZ,1933,0,0,0,0,0,No reported catch,regional;local
ALU,1933,0,0,0,0,0,Catches included in S. peninsula catches or none,regional
BRB,1932,68,14940,5,172,909,,individual
SOP,1932,17,2977,112,3605,817,Estimated from canned production; includes Aleautian Island catches,regional;individual;local
CHG,1932,1,1578,25,812,50,Pink and chum catch estimated form canned production; from Castle Cp. To E. boundary,regional
CKI,1932,71,1132,375,441,65,Estimated from canned production,regional;individual;local
KOD,1932,2,1058,52,4720,237,Estimated from canned production,individual;regional;local
NSE,1932,312,1026,906,7822,2870,Includes Yakutat catches,individual;regional
NOP,1932,3,977,0,0,56,Estimated from canned production,individual;local
COP,1932,29,830,0,0,0,Includes Bering River catches,regional;individual
SSE,1932,315,626,484,14784,2724,,regional;individual
PWS,1932,8,256,100,3466,351,,individual
YAK,1932,0,0,0,0,0,Yakutat catch included in No SE AK catch,local;regional
GSE,1932,0,0,0,0,0,,local
BER,1932,0,0,0,0,0,Bering River catches included in Copper River catches,regional;local;individual
KSK,1932,9,0,0,0,0,,individual;regional
YUK,1932,5,0,0,0,0,,regional;local
KTZ,1932,0,0,0,0,0,No reported catch,local;regional
ALU,1932,0,0,0,0,0,Catches included in S. peninsula catches or none,individual;regional
BRB,1931,47,12791,1,0,636,,local
SOP,1931,11,1863,129,998,1211,Estimated from canned production; includes Aleautian Island catches,regional;individual
KOD,1931,2,1183,170,6840,184,Estimated from canned production,local;regional
SSE,1931,297,883,722,13567,1671,,local;individual;regional
CKI,1931,51,806,328,472,63,Estimated from canned production,individual
NOP,1931,2,761,0,0,55,Estimated from canned production,local
COP,1931,35,760,92,0,0,Includes Bering River catches,individual
CHG,1931,1,715,40,170,46,Pink and chum catch estimated form canned production,regional;individual
NSE,1931,163,661,430,13676,1180,,regional;local
YAK,1931,0,280,0,0,0,,individual;local
PWS,1931,2,159,55,4860,560,,individual;regional;local
GSE,1931,0,0,0,0,0,,regional;individual;local
BER,1931,0,0,0,0,0,Bering River catches included in Copper River catches,local;regional
KSK,1931,9,0,0,0,0,,regional
YUK,1931,0,0,0,0,0,No reported catch,individual;regional;local
KTZ,1931,0,0,0,0,0,No reported catch,regional;individual
ALU,1931,0,0,0,0,0,Catches included in S. peninsula catches or none,local;individual;regional
BRB,1930,105,4259,34,249,227,,local;regional;individual
NSE,1930,307,1494,630,22183,1742,,regional;individual;local
SOP,1930,11,935,161,6095,1278,Estimated from canned production; includes Aleautian Island catches,individual;regional
CKI,1930,72,918,498,1023,100,Estimated from canned; excludes Resurrection Bay,local;individual;regional
COP,1930,25,830,598,0,0,Includes Bering River catches; estimated from canned,individual;local
SSE,1930,220,780,1285,21228,967,,local;individual;regional
KOD,1930,5,466,229,1651,419,Estimated from canned production,individual
YAK,1930,83,313,84,72,0,,regional;individual;local
PWS,1930,2,207,108,6777,980,,local
NOP,1930,4,168,0,0,94,Estimated from canned production,regional
CHG,1930,0,21,19,68,50,Pink and chum catch estimated form canned production,individual;local
KSK,1930,8,2,0,0,0,,individual
GSE,1930,0,0,0,0,0,,individual;local
BER,1930,0,0,0,0,0,Bering River catches included in Copper River catches,local;regional
YUK,1930,0,0,0,0,0,No reported catch,individual;local
KTZ,1930,0,0,0,0,0,No reported catch,local;regional
ALU,1930,0,0,0,0,0,Catches included in S. peninsula catches or none,LOCAL
BRB,1929,151,12189,59,0,622,,individual;local;regional
NSE,1929,379,1278,519,8849,1595,Includes Yakutat catches,regional;individual;local
CKI,1929,68,1050,185,377,135,Estimated from canned; excludes Resurrection Bay,local;individual
CHG,1929,2,1049,37,73,185,Pink and chum catch estimated form canned production,individual
COP,1929,47,968,184,0,0,Includes Bering River catches; estimated from canned,individual
SOP,1929,11,936,85,1794,2429,Estimated from canned production; includes Aleautian Island catches,local;regional;individual
NOP,1929,4,878,0,0,145,Estimated from canned production,regional;local
KOD,1929,3,712,144,6108,1058,Estimated from canned production,individual;regional
SSE,1929,76,624,850,13000,1032,,individual;regional
PWS,1929,1,265,66,9614,1282,,regional
YAK,1929,0,0,0,0,0,Yakutat catch included in No SE AK catch,regional;local;individual
GSE,1929,0,0,0,0,,,individual;regional;local
BER,1929,0,0,0,0,0,Bering River catches included in Copper River catches,regional;individual
KSK,1929,0,0,,0,0,No reported catch,local;regional
YUK,1929,0,0,,0,0,No reported catch,local;individual
KTZ,1929,0,0,,0,0,No reported catch,local;regional
ALU,1929,0,0,0,0,0,Catches included in S. peninsula catches or none,local;regional
BRB,1928,66,19710,5,47,397,,local;individual;regional
KOD,1928,3,1592,291,1535,726,Estimated from canned production,local;individual;regional
CKI,1928,70,1173,523,568,101,Estimated from canned; excludes Resurrection Bay,local;individual
SOP,1928,8,972,97,901,2416,Estimated from canned production; includes Aleautian Island catches,individual;local;regional
NSE,1928,239,897,1252,17990,2041,Includes Yakutat catches,regional;local;individual
NOP,1928,5,856,0,0,84,Estimated from canned production,individual;local;regional
CHG,1928,0,786,66,46,123,Pink and chum catch estimated form canned production,regional;individual;local
COP,1928,45,532,304,0,0,Includes Bering River catches; estimated from canned,local;regional
SSE,1928,145,454,907,18062,2830,,regional;local
PWS,1928,4,183,190,8034,468,,regional;local;individual
YAK,1928,0,0,0,0,0,Yakutat catch included in No SE AK catch,regional;local;individual
GSE,1928,0,0,0,0,0,,regional;individual;local
BER,1928,0,0,0,0,0,Bering River catches included in Copper River catches,local
KSK,1928,0,0,0,0,0,No reported catch,individual;regional;local
YUK,1928,0,0,0,0,0,No reported catch,individual;regional;local
KTZ,1928,0,0,0,0,0,No reported catch,regional
ALU,1928,0,0,0,0,0,Catches included in S. peninsula catches or none,regional
BRB,1927,84,11072,0,0,196,,individual;local;regional
CKI,1927,87,1459,388,252,59,,individual
KOD,1927,4,1155,152,5297,418,,individual;regional;local
SOP,1927,10,715,125,1456,1300,,regional
NSE,1927,295,625,599,5471,1572,,individual;regional;local
SSE,1927,69,573,241,2581,620,,regional;local;individual
CHG,1927,1,456,101,187,171,Pink and chum catch estimated form canned production,local;regional
COP,1927,42,341,410,,0,,regional
YAK,1927,10,242,292,100,1,,local
NOP,1927,16,231,0,0,87,,local;regional;individual
PWS,1927,3,118,259,6125,655,,regional;individual
ALU,1927,0,17,0,335,0,,individual;local
GSE,1927,254,4,152,10,26,,local;individual
BER,1927,0,0,0,0,0,No fishery,individual;local;regional
KSK,1927,0,0,0,0,0,No reported catch,individual
YUK,1927,0,0,0,0,0,No reported catch,individual
KTZ,1927,0,0,0,0,0,No reported catch,individual;local;regional
BRB,1926,75,19414,13,288,326,,individual;local
SOP,1926,9,3072,194,3720,1180,,individual
KOD,1926,1,3015,174,4607,325,,individual;regional
CKI,1926,76,2000,353,586,118,,regional
NSE,1926,197,978,400,12386,3189,,regional;individual;local
SSE,1926,63,832,446,19268,2578,,regional;individual
NOP,1926,24,673,0,0,72,,individual;regional;local
CHG,1926,1,511,32,677,265,Pink and chum catch estimated form canned production,local;individual
COP,1926,21,211,178,0,0,,local;regional
YAK,1926,19,207,144,246,4,,local;individual
PWS,1926,2,157,79,11154,587,,individual;local;regional
BER,1926,0,37,53,0,0,,local;individual
GSE,1926,174,28,196,294,335,,individual;local;regional
ALU,1926,0,1,0,522,8,,individual;local;regional
KSK,1926,0,0,0,0,0,No reported catch,individual
YUK,1926,0,0,0,0,0,No reported catch,local;individual;regional
KTZ,1926,0,0,0,0,0,No reported catch,local;regional;individual
BRB,1925,97,7910,17,0,232,,individual;local;regional
KOD,1925,2,1693,93,2674,212,,regional;local;individual
CKI,1925,51,1511,198,12,15,,local;regional
NSE,1925,251,934,448,4660,3563,,local;individual
SOP,1925,11,820,127,382,1117,,individual
CHG,1925,1,713,30,43,102,,individual;regional;local
SSE,1925,106,682,462,22660,4454,,regional;individual;local
NOP,1925,11,400,0,0,54,,individual
YAK,1925,20,201,148,104,2,,individual;local
COP,1925,20,161,153,0,0,,individual;local
PWS,1925,3,97,84,4085,781,,local
BER,1925,0,53,57,0,0,,local;individual;regional
GSE,1925,223,26,154,822,168,,individual;local
ALU,1925,0,19,0,4,9,,local
KSK,1925,2,6,0,0,0,,regional;individual;local
YUK,1925,0,0,0,0,0,No reported catch,individual
KTZ,1925,0,0,0,0,0,No reported catch,regional;individual
BRB,1924,72,10302,40,103,285,,individual;regional
KOD,1924,1,1408,121,5435,118,,local;regional
SOP,1924,4,1352,127,3931,1331,,regional;local
SSE,1924,49,1065,482,19896,4375,,local;individual;regional
CKI,1924,27,1056,188,752,37,,regional
NSE,1924,479,1014,475,9232,2735,,regional;individual
CHG,1924,0,877,94,1015,111,,individual
COP,1924,16,791,42,0,0,,local
NOP,1924,10,702,0,0,48,,regional;individual;local
YAK,1924,20,395,155,311,0,,local;individual;regional
PWS,1924,1,158,69,8396,385,,individual;local
BER,1924,0,87,80,0,0,,individual;local
GSE,1924,288,32,102,590,156,,individual;local
ALU,1924,0,25,0,674,0,,individual;regional
KSK,1924,19,1,7,0,7,,individual;local
YUK,1924,27,0,0,0,0,,local;regional;individual
KTZ,1924,0,0,0,0,0,No reported catch,regional;local
BRB,1923,67,18182,9,0,185,,local;individual;regional
SOP,1923,4,1827,75,144,539,,individual;regional;local
CKI,1923,30,1099,143,39,23,,local
KOD,1923,2,1090,78,929,39,,individual
SSE,1923,140,1007,585,28786,2437,,individual;regional;local
NSE,1923,478,972,456,9059,1301,,regional;local;individual
NOP,1923,9,732,0,0,26,,individual;regional;local
CHG,1923,1,643,19,9,88,,regional;individual
COP,1923,10,626,0,0,0,,regional
YAK,1923,16,360,190,294,6,,individual
BER,1923,0,192,25,0,0,,regional;local
PWS,1923,1,170,27,2447,112,,regional;local
GSE,1923,156,72,111,1740,168,,individual;local;regional
KSK,1923,7,0,0,0,0,,local;individual
YUK,1923,13,0,0,0,0,,regional;individual;local
KTZ,1923,0,0,0,0,0,No reported catch,individual;regional
ALU,1923,0,0,0,0,0,No reported catch,individual
BRB,1922,74,23632,160,290,516,,local
SOP,1922,7,3377,2,757,349,,individual
CHG,1922,1,1249,15,360,213,,regional;local
KOD,1922,1,1097,120,2766,224,,local
CKI,1922,31,860,200,637,74,,individual;local;regional
NSE,1922,124,810,442,5064,1362,,local
SSE,1922,79,673,554,18494,2330,,individual
NOP,1922,10,668,0,0,43,,individual;regional;local
COP,1922,10,506,0,0,0,,individual
YAK,1922,9,377,180,73,0,,local
PWS,1922,0,141,9,2421,51,,regional;individual;local
BER,1922,0,131,0,0,0,,regional;individual
GSE,1922,133,40,83,371,37,,local;individual
ALU,1922,0,14,0,0,,,individual;local;regional
KSK,1922,9,6,,0,0,,regional
YUK,1922,17,0,0,0,0,,regional;individual;local
KTZ,1922,0,0,0,0,0,No reported catch,individual;regional;local
BRB,1921,92,15680,85,1,355,,regional;individual;local
KOD,1921,1,2858,46,68,25,,individual
CHG,1921,0,1829,13,31,221,,local;regional;individual
NOP,1921,12,1746,0,0,33,,regional
CKI,1921,14,984,21,5,42,,local;individual;regional
SOP,1921,1,831,1,47,85,,regional;individual
NSE,1921,223,631,456,1775,1102,,individual
COP,1921,11,570,0,0,0,,regional;individual;local
YAK,1921,13,513,198,35,0,,individual;regional;local
SSE,1921,54,329,159,4631,609,,individual;regional
BER,1921,0,121,0,0,0,,individual
PWS,1921,0,93,9,13,3,,regional;individual;local
GSE,1921,156,26,99,1294,135,,regional
KSK,1921,10,0,0,0,0,,individual;local
YUK,1921,70,0,1,1,111,,individual
KTZ,1921,0,0,0,0,0,No reported catch,individual
ALU,1921,0,0,0,0,0,No reported catch,individual;regional
BRB,1920,127,8898,153,2045,434,,local
KOD,1920,2,1958,89,1977,55,,regional;individual
CHG,1920,1,1773,22,298,152,,individual;local;regional
NOP,1920,19,1372,0,0,37,,local
CKI,1920,40,1315,302,446,98,,local;regional
NSE,1920,149,1221,535,7113,3880,,individual;regional
SOP,1920,8,1142,48,2110,934,,individual
SSE,1920,81,941,272,9844,4344,,regional
COP,1920,23,855,74,0,0,,local;individual;regional
YAK,1920,24,486,211,44,0,,local;regional;individual
BER,1920,0,163,64,0,0,,individual
PWS,1920,6,130,89,5315,261,,individual;regional;local
GSE,1920,97,96,130,1120,390,,regional;individual;local
ALU,1920,0,10,3,0,0,,individual
KSK,1920,35,0,0,0,0,,local;individual
YUK,1920,58,0,0,0,156,,REGION
KTZ,1920,0,0,0,0,0,No reported catch,local;individual;regional
BRB,1919,202,7161,47,0,204,,individual;regional;local
KOD,1919,2,1619,104,283,60,,local;regional;individual
NSE,1919,246,1480,799,6999,4937,,regional
COP,1919,13,1329,53,0,0,,local;individual
SSE,1919,121,1240,690,16789,4120,,regional;individual;local
CKI,1919,24,944,173,43,54,,regional
CHG,1919,1,885,35,5,137,,regional;individual;local
SOP,1919,10,619,56,80,921,,individual;regional
YAK,1919,13,494,244,24,0,,local;individual;regional
NOP,1919,20,389,0,12,143,,individual;local;regional
PWS,1919,7,153,73,1008,559,,regional;individual
BER,1919,0,140,77,0,0,,regional;individual
GSE,1919,200,49,71,519,211,,regional;individual;local
ALU,1919,0,4,1,4,0,,individual
KSK,1919,5,0,0,0,0,,local;regional;individual
YUK,1919,105,0,37,37,328,,regional;individual
KTZ,1919,0,0,0,0,0,No reported catch,individual;regional;local
BRB,1918,87,23091,109,619,746,,individual;local;regional
KOD,1918,2,1894,78,2467,82,,local
CKI,1918,35,1668,251,721,108,,local;individual
CHG,1918,1,1543,21,396,344,,local;regional
COP,1918,20,1492,74,5,1,,individual
NSE,1918,173,1486,701,15781,6436,,individual
NOP,1918,10,1209,0,1,252,,regional
SOP,1918,9,1014,16,2151,1501,,individual
SSE,1918,122,789,640,20021,2686,,individual
YAK,1918,13,454,225,116,0,,local;regional
PWS,1918,1,249,100,4303,1342,,local;individual;regional
BER,1918,0,173,80,1,0,,regional;local;individual
GSE,1918,103,93,64,3370,231,,individual
ALU,1918,0,55,4,76,0,,local
KSK,1918,3,0,0,0,0,,individual;regional
YUK,1918,12,0,26,26,74,,individual;regional
KTZ,1918,0,0,0,0,27,Estimated from canned production,local
BRB,1917,91,24514,62,37,356,,regional;individual;local
KOD,1917,1,3646,30,225,16,,local
CKI,1917,65,1660,61,54,78,,regional;local;individual
SOP,1917,6,1486,5,72,415,,local;individual;regional
CHG,1917,1,1457,13,10,125,,regional
NSE,1917,176,1454,626,22219,2774,,individual;regional;local
COP,1917,14,920,126,9,0,,local
NOP,1917,20,680,7,1,90,,local
SSE,1917,115,657,633,16706,3786,,regional
YAK,1917,17,493,189,93,0,,individual;local
PWS,1917,0,222,45,2591,370,,regional
BER,1917,0,163,78,0,0,,local;regional
ALU,1917,0,70,4,1,23,,individual
GSE,1917,19,18,22,1310,292,,individual
KSK,1917,8,0,0,0,0,,local;regional;individual
KTZ,1917,0,0,0,0,45,Estimated from canned production,local;regional
BRB,1916,105,17522,293,684,1490,,individual
KOD,1916,1,3373,50,3182,29,,regional
NOP,1916,44,1975,0,3,191,,regional
CKI,1916,63,1699,210,1683,128,,individual;local;regional
NSE,1916,135,1274,830,9809,2059,,individual;local
CHG,1916,1,1003,46,267,89,,local;individual
COP,1916,14,770,118,32,0,,individual
SOP,1916,7,731,34,576,509,,regional;local
SSE,1916,39,596,501,8608,2443,,rgion
YAK,1916,1,435,127,41,0,,regional;individual
BER,1916,0,141,52,14,0,,regional;local
GSE,1916,80,76,130,1482,240,,regional;individual;local
ALU,1916,0,76,1,180,0,,regional;local
PWS,1916,0,72,48,3270,46,,regional
KSK,1916,1,0,0,0,0,,individual
KTZ,1916,0,0,0,0,19,Estimated from canned production,individual;regional;local
BRB,1915,148,14788,130,135,593,,individual;regional;local
NOP,1915,14,1974,0,0,55,,regional;local
CKI,1915,84,1861,122,19,28,,individual;local
KOD,1915,1,1664,52,252,20,,local;regional
NSE,1915,94,1538,299,9863,1102,,regional
CHG,1915,2,1330,30,56,65,,individual;regional
COP,1915,7,819,12,16,0,,individual
SSE,1915,119,781,332,17992,2385,,individual;local
YAK,1915,9,433,157,157,0,,regional
SOP,1915,5,368,16,120,333,,local;individual;regional
BER,1915,0,106,0,0,0,,regional;individual;local
GSE,1915,60,73,82,2339,105,,regional;individual;local
PWS,1915,0,52,7,449,2,,local;regional;individual
KSK,1915,0,0,0,0,0,No reported catch,individual;regional;local
KTZ,1915,0,0,0,0,5,Estimated from canned production,local;regional
ALU,1915,0,0,0,0,0,No reported catch,regional
BRB,1914,101,20195,99,565,567,,local
NSE,1914,71,2128,566,3924,1595,,individual;local
CKI,1914,48,1473,188,1256,40,,regional
NOP,1914,8,1325,0,0,0,,individual;regional;local
KOD,1914,1,1255,32,1726,13,,local
CHG,1914,1,1057,34,80,32,,individual;regional
SSE,1914,133,826,225,8433,3783,,local
SOP,1914,1,629,10,311,221,,local;regional
COP,1914,3,571,42,0,0,,local
YAK,1914,12,544,116,6,0,,local
PWS,1914,0,72,13,225,0,,local
BER,1914,0,10,0,0,0,,local;individual;regional
GSE,1914,124,3,7,205,67,,local;regional;individual
KSK,1914,0,3,0,0,0,,regional;individual;local
KTZ,1914,0,0,0,0,9,Estimated from canned production,local
ALU,1914,0,0,0,0,0,No reported catch,regional;individual
BRB,1913,74,20582,67,425,285,,local;individual
KOD,1913,1,1663,28,590,4,,individual;local;regional
CKI,1913,64,1369,81,11,11,,regional
NSE,1913,65,1254,283,6622,1044,,regional
NOP,1913,1,889,19,0,2,,individual
CHG,1913,0,833,24,30,91,,individual;local
YAK,1913,4,562,112,45,0,,local;individual;regional
COP,1913,2,405,0,0,0,,local
SSE,1913,191,392,157,18098,1384,,regional
SOP,1913,2,300,0,0,7,,individual
PWS,1913,1,75,0,426,0,,regional;local;individual
BER,1913,0,39,0,0,0,,local;regional;individual
GSE,1913,94,10,26,530,32,,regional
KSK,1913,8,0,0,0,0,,individual;regional
ALU,1913,0,0,0,0,0,No reported catch,regional;individual;local
BRB,1912,98,19696,195,1681,355,,local;individual
KOD,1912,1,2246,17,547,25,,local
NSE,1912,68,1567,449,4726,2632,,local
CHG,1912,2,1331,19,55,28,,individual
CKI,1912,48,1195,71,1662,122,,local
SSE,1912,152,808,517,17141,2685,,local;regional;individual
YAK,1912,5,638,127,32,6,,local
COP,1912,6,456,36,0,0,,regional;local
SOP,1912,0,334,27,40,195,,regional;individual;local
NOP,1912,1,253,11,0,2,,individual;local
PWS,1912,0,48,16,402,0,,regional
BER,1912,0,41,8,0,0,,regional;individual
GSE,1912,181,6,6,113,19,,individual
ALU,1912,0,0,0,0,0,No reported catch,individual;regional
BRB,1911,113,8815,130,92,348,,local;individual;regional
KOD,1911,1,2686,22,230,6,,local;individual;regional
NSE,1911,62,1313,365,4970,1575,,regional
CKI,1911,56,1249,88,71,1,,regional;local;individual
CHG,1911,0,1078,8,23,15,,local
SSE,1911,80,1032,355,15252,1141,,regional;local
YAK,1911,0,508,158,181,14,,individual
COP,1911,1,408,34,0,0,,individual;regional
SOP,1911,0,241,12,25,83,,regional;individual
NOP,1911,0,130,0,0,0,,local;regional
GSE,1911,5,44,24,1006,55,,local
PWS,1911,0,23,20,156,0,,regional
ALU,1911,0,9,0,0,0,,local;regional
BER,1911,0,0,0,0,0,,local;regional
BRB,1910,102,11594,139,652,310,,individual;regional;local
KOD,1910,2,1955,44,215,0,,individual;local
NSE,1910,37,1541,238,2446,873,,regional;individual
CHG,1910,0,1315,37,17,0,,regional;individual;local
SSE,1910,66,978,235,6832,1121,,regional;local
CKI,1910,49,840,80,218,1,,individual;regional;local
YAK,1910,2,465,164,42,2,,individual;local
COP,1910,1,222,18,0,0,,regional
PWS,1910,0,68,14,197,0,,individual;regional;local
SOP,1910,0,46,6,0,0,,individual;regional;local
GSE,1910,70,2,9,106,0,,regional;local
BER,1910,0,0,0,0,0,,local;individual;regional
NOP,1910,0,0,0,0,0,No reported catch,local;individual;regional
BRB,1909,130,15498,81,101,378,,individual;regional;local
KOD,1909,4,1915,52,154,0,,individual
CHG,1909,0,1731,0,0,0,,regional;individual;local
NSE,1909,38,1585,137,2560,450,,individual;regional
SSE,1909,34,723,128,6784,249,,individual;regional
CKI,1909,60,583,88,4,0,,local;individual
YAK,1909,0,483,68,18,0,,individual;local
COP,1909,3,317,0,0,0,,individual;local
PWS,1909,0,150,0,0,0,,individual;regional
NOP,1909,2,143,0,0,1,,regional;individual
SOP,1909,0,108,7,0,0,,individual;regional
GSE,1909,42,0,0,135,0,,individual;regional;local
BER,1909,0,0,0,0,0,,regional;individual
BRB,1908,90,16234,103,399,460,,local
KOD,1908,3,2488,74,286,0,,regional
CHG,1908,0,1631,0,0,0,,individual
NSE,1908,32,1365,202,5458,1187,,individual
SSE,1908,43,731,186,7120,616,,individual
CKI,1908,34,671,95,375,0,,individual;regional;local
COP,1908,0,466,0,0,0,,local;individual;regional
YAK,1908,7,431,46,54,0,,individual;regional
NOP,1908,1,167,0,0,0,,local
PWS,1908,0,117,0,18,0,,local;regional;individual
SOP,1908,0,69,0,0,0,,individual
GSE,1908,19,18,24,960,21,,individual;regional
BER,1908,0,0,0,0,0,,individual
BRB,1907,138,10193,129,344,509,,local
KOD,1907,4,4232,38,0,0,,local;regional
CHG,1907,0,1623,1,0,0,,regional;local
NSE,1907,61,1056,221,3781,917,,individual;local
SSE,1907,17,808,180,8055,437,,individual
CKI,1907,63,461,177,6,0,,individual
YAK,1907,0,331,101,54,0,,local;regional
COP,1907,1,264,0,0,0,,individual;local
NOP,1907,2,67,3,2,0,,local;regional
PWS,1907,0,18,0,252,0,,individual;local;regional
GSE,1907,11,5,0,84,0,,individual
BER,1907,0,0,0,0,0,,individual
BRB,1906,143,10823,207,1902,254,,individual;local
KOD,1906,4,3980,24,0,0,,individual;regional;local
NSE,1906,27,1330,388,2540,869,,individual;local;regional
CHG,1906,0,1324,0,0,0,,local;regional;individual
SSE,1906,3,981,169,3859,473,,regional
YAK,1906,0,297,81,63,0,,individual;local
COP,1906,2,265,0,0,0,,regional
CKI,1906,22,226,93,64,0,,regional;individual
NOP,1906,2,135,0,0,0,,local
PWS,1906,0,61,0,0,0,,regional;individual
BER,1906,0,54,0,0,0,,regional;individual;local
GSE,1906,13,12,22,575,32,,individual;regional
BRB,1905,117,14834,78,291,59,,individual
KOD,1905,2,2142,87,0,0,,individual
NSE,1905,46,1335,162,858,869,,individual;regional
CHG,1905,0,1297,0,0,0,,local;individual;regional
SSE,1905,9,1009,184,2060,343,,indivifual
COP,1905,20,320,0,0,0,,individual;regional
YAK,1905,0,267,50,45,0,,local;individual
PWS,1905,0,100,0,0,0,,local;regional
CKI,1905,18,96,0,0,0,,regional;individual;local
GSE,1905,13,0,3,98,449,,local;individual
BER,1905,0,0,0,0,0,,local
BRB,1904,98,11903,129,398,37,,individual;local;regional
KOD,1904,3,2875,103,5,0,,local
NSE,1904,33,2072,136,1330,187,,regional;local;individual
CHG,1904,0,1690,0,28,0,,regional
SSE,1904,4,1143,242,2381,102,,local;regional;individual
COP,1904,5,502,0,0,0,,regional;local
CKI,1904,30,489,24,0,0,,local;individual
YAK,1904,0,142,97,111,0,,regional
BER,1904,0,123,0,0,0,,local
PWS,1904,0,109,0,574,0,,individual;regional;local
GSE,1904,0,59,43,1356,69,,regional;individual
BRB,1903,87,16320,60,242,0,,individual;local
KOD,1903,1,1826,120,10,0,,regional;individual
NSE,1903,6,1278,249,951,0,,local;regional
CHG,1903,0,1150,9,84,0,,local;individual;regional
PWS,1903,5,814,0,399,0,Includes Copper River catches,local;individual
CKI,1903,66,564,59,0,0,,regional;local;individual
GSE,1903,36,553,280,3908,0,,regional
SSE,1903,0,230,125,669,0,,local
YAK,1903,0,0,0,0,0,,regional
BER,1903,0,0,0,0,0,,regional;individual;local
BRB,1902,109,12809,194,502,0,,individual;local
KOD,1902,3,3868,35,0,0,,local;regional;individual
CHG,1902,0,1782,0,0,0,,local;individual
NSE,1902,5,1185,107,1233,0,,local;regional
PWS,1902,3,800,0,375,0,Includes Copper River catches,individual
CKI,1902,49,710,55,79,0,,individual;local;regional
GSE,1902,2,583,82,5286,0,,regional;individual;local
SSE,1902,4,256,34,1547,0,,local;regional
YAK,1902,0,53,12,35,0,,individual
BER,1902,0,0,0,0,0,,regional;individual;local
