"These data were modified from ""https://knb.ecoinformatics.org/knb/d1/mn/v2/object/df35b.302.1 and https://knb.ecoinformatics.org/knb/d1/mn/v2/object/df35b.303.1",,,,,,,,
Modifications were done to show data entry errors to be used as example of a data cleaning workshop,,,,,,,,
region,Year,Chinook salmon,Sockeye salmon,Coho salmon,Pink salmon,Chum salmon,NOTES,source
PWS,1987,1,545,48,29337,1940,,individual
SSE,1987,66,540,663,4631,1184,,individual;regional;local
YAK,1987,10,260,208,14,15,,individual;regional
KSK,1987,65,171,479,0,602,,local;regional;individual
BER,1987,0,17,16,0,0,,individual
YUK,1987,132,0,0,0,442,,local;regional
NRS,1987,7,0,24,2,103,,regional
KTZ,1987,0,0,0,0,109,,local;individual;regional
ALU,1987,0,0,0,0,0,,local;regional;individual
BRB,1986,94,15776,182,401,1227,,regional
CKI,1986,40,5030,777,2710,1229,,individual;regional
KOD,1986,4,3188,169,11809,1134,,regional;local
NOP,1986,12,2464,164,23,271,,local;individual;regional
CHG,1986,3,1646,117,647,177,,regional;local
SOP,1986,6,1225,236,4033,1787,,regional;individual;local
SSE,1986,70,904,1568,45019,1845,,local
COP,1986,41,780,296,3,18,,individual;regional;local
PWS,1986,1,489,14,11408,1687,,individual
NSE,1986,183,388,1588,1144,1496,,local
YAK,1986,12,151,248,9,18,,regional
KSK,1986,45,142,736,31,349,,regional;individual
BER,1986,0,19,115,0,0,,regional
ALU,1986,0,6,0,41,2,,individual;local
YUK,1986,100,0,47,0,861,,local;regional;individual
NRS,1986,6,0,36,41,147,,individual
KTZ,1986,0,0,0,0,261,,individual;local;regional
BRB,1985,120,23703,163,0,1068,,regional;individual;local
CKI,1985,25,4339,678,1318,803,,regional
NOP,1985,24,2596,176,3,667,,individual;local;regional
SOP,1985,7,2145,173,4431,1363,,local;individual
KOD,1985,5,1843,284,7335,431,,regional;local;individual
SSE,1985,74,1129,984,30708,1394,,individual
COP,1985,42,928,588,19,6,,local;individual;regional
CHG,1985,2,922,191,160,23,,regional
NSE,1985,174,497,1213,21221,1868,,local;regional;individual
PWS,1985,1,496,18,25110,1282,,regional;individual;local
YAK,1985,10,235,402,26,13,,regional
KSK,1985,74,121,382,0,225,,local;individual;regional
BER,1985,0,27,419,0,10,,regional;individual
ALU,1985,0,2,0,0,0,,local;regional;individual
YUK,1985,144,0,57,0,761,,individual;local;regional
NRS,1985,19,0,22,4,135,,regional;local
KTZ,1985,0,0,0,0,521,,local;regional
BRB,1984,102,24710,575,3366,2023,,individual;regional;local
CHG,1984,4,2661,110,445,63,,regional;local
CKI,1984,11,2376,467,1318,773,,local
SOP,1984,9,2318,311,11628,1655,,individual;local;regional
KOD,1984,5,1951,230,10847,649,,local;regional
NOP,1984,23,1735,199,27,797,,local
COP,1984,39,900,382,32,7,,individual;local
SSE,1984,68,638,687,19677,1823,,local
NSE,1984,193,475,962,5008,2229,,regional;individual
PWS,1984,1,336,29,21561,1238,,regional;local;individual
YAK,1984,10,103,261,21,32,,local
BER,1984,0,99,212,1,23,,regional;individual;local
KSK,1984,74,81,830,24,489,,regional
ALU,1984,0,67,2,2271,32,,individual;local
YUK,1984,120,0,82,0,797,,individual
NRS,1984,8,0,68,118,146,,local;regional;individual
KTZ,1984,0,0,0,0,320,,local
BRB,1983,199,37372,128,0,1632,,individual
CKI,1983,22,5237,528,998,1307,,local;regional
